id,data_type,data
188,image,https://www.skku.edu/_attach/image/2022/06/gtmVqZaPekBlaNznUGhZ.jpg
189,image,https://www.skku.edu/_attach/image/2022/06/aVYYZMQBftKsigMPhZHT.jpg
191,image,https://www.skku.edu/_attach/image/2022/06/UKaWgWwRJmitvNOeRJcu.png
192,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97863&attachNo=78747
192,image,https://www.skku.edu/_attach/image/2022/06/MQjUfSFDUuGCVoUCrMGS.jpg
193,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97788&attachNo=78742
193,image,https://www.skku.edu/_attach/image/2022/06/PGeDvPsFMNXZofrENvcS.png
194,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97839&attachNo=78726
194,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97839&attachNo=78728
194,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97839&attachNo=78729
194,image,https://www.skku.edu/_attach/image/2022/06/TAsarSupeSFOrTRbCKcJ.jpg
198,image,https://www.skku.edu/_attach/image/2022/05/WfHlSjrouUmPgjMvmlAg.png
199,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97816&attachNo=78711
200,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97811&attachNo=78707
200,image,https://www.skku.edu/_attach/image/2022/06/NIZZPvAoVfiZlILKgABm.JPG
201,image,https://www.skku.edu/_attach/image/2022/06/WXzdBqYJXvQfvEdfFoDm.jpg
202,image,https://www.skku.edu/_attach/image/2022/06/zjghQWxZbcNTLKUGqhPm.png
203,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97440&attachNo=78701
203,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97440&attachNo=78702
205,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97805&attachNo=78693
206,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=96321&attachNo=77101
